entrezgene_id,external_gene_name,chromosome_name,start_position,end_position
10347,ABCA7,19,1039997,1065572
111,ADCY5,3,123282296,123449090
57679,ALS2,2,201700267,201782112
283,ANG,14,20684177,20698971
311,ANXA11,10,80150889,80205572
351,APP,21,25880535,26171128
23400,ATP13A2,1,16985958,17011928
478,ATP1A3,19,41966582,41997497
10159,ATP6AP2,X,40579372,40606848
540,ATP7B,13,51930436,52012125
945,CD33,19,51225064,51243860
400916,CHCHD10,22,23765834,23767972
25978,CHMP2B,3,87227271,87255556
1356,CP,3,149162410,149221829
1436,CSF1R,5,150053291,150113372
1639,DCTN1,2,74361154,74392087
2066,ERBB4,2,211375717,212538841
2521,FUS,16,31180138,31196963
2629,GBA1,1,155234452,155244699
2896,GRN,17,44345246,44353106
3073,HEXA,15,72340924,72376420
3181,HNRNPA2B1,7,26171151,26201529
9445,ITM2B,13,48232612,48270357
3798,KIF5A,12,57546026,57586633
4001,LMNB1,5,126776623,126837020
120892,LRRK2,12,40196744,40369285
4137,MAPT,17,45894527,46028334
4854,NOTCH3,19,15159038,15200995
10133,OPTN,10,13099449,13138308
8106,PABPN1,14,23321457,23326163
5155,PDGFB,22,39223359,39244982
5159,PDGFRB,5,150113839,150155872
5216,PFN1,17,4945652,4949061
5582,PRKCG,19,53879190,53907652
5621,PRNP,20,4686350,4701590
5663,PSEN1,14,73136418,73223691
5664,PSEN2,1,226870184,226927726
65055,REEP1,2,86213993,86338083
51308,REEP2,5,138439057,138446969
5649,RELN,7,103471381,103989658
219285,SAMD9L,7,93130056,93148385
23064,SETX,9,132261356,132354986
6575,SLC20A2,8,42416475,42541926
6622,SNCA,4,89700345,89838315
6647,SOD1,21,31659666,31668931
6653,SORL1,11,121452314,121633763
6683,SPAST,2,32063556,32157637
80208,SPG11,15,44554818,44663688
6687,SPG7,16,89490719,89557766
8878,SQSTM1,5,179806398,179838078
23435,TARDBP,1,11012344,11030528
29110,TBK1,12,64452090,64502114
10342,TFG,3,100709295,100748964
54664,TMEM106B,7,12211270,12243367
54209,TREM2,6,41158506,41163186
29978,UBQLN2,X,56563627,56567868
9217,VAPB,20,58389229,58451101
7415,VCP,9,35053928,35072668
9213,XPR1,1,180632022,180890279
